33.81411305382062,-117.92310744524005
33.81427350613338,-117.92298138141634
33.81444955763026,-117.92294651269914
33.81460778081832,-117.92282849550249
33.81444510063481,-117.92267024517061
33.81422002206257,-117.9226326942444
33.814295791153,-117.92237251996995
33.81439830216857,-117.92225718498231
33.81454983996651,-117.92224109172822
33.81464343670761,-117.92211771011354
33.81467909258204,-117.92199164628984
33.81455652545141,-117.92190581560136
33.81454761147143,-117.92184680700305
33.81462560876481,-117.92165905237201
33.814757089755545,-117.92171001434328
33.81482394441907,-117.92164832353595
